"Question-word,","answer-word,","guess-word,",result
enormously,tremendously,tremendously,correct
provisions,stipulations,guess,guess
haphazardly,randomly,guess,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,instantly,wrong
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,trade,wrong
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,election,wrong
narrow,thin,clear,wrong
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,prickly,wrong
levied,imposed,imposed,correct
deftly,skillfully,guess,guess
distribute,circulate,commercialize,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,guess,guess
peculiarly,uniquely,guess,guess
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,alter,wrong
hastily,hurriedly,guess,guess
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,guess,guess
physician,doctor,nurse,wrong
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,guess,guess
annals,chronicles,trails,wrong
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,guess,guess
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disperse,correct
primarily,chiefly,consistently,wrong
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,equitable,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,profit,wrong
terminated,ended,postponed,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,craze,wrong
marketed,sold,diluted,wrong
bigger,larger,guess,guess
roots,origins,origins,correct
normally,ordinarily,guess,guess
