"Question-word,","answer-word,","guess-word,",result
enormously,tremendously,tremendously,correct
provisions,stipulations,guess,guess
haphazardly,randomly,guess,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,fearless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,generosity,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,instantly,wrong
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,borrow,wrong
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,correct
debate,argument,election,wrong
narrow,thin,clear,wrong
arranged,planned,discarded,wrong
infinite,limitless,limitless,correct
showy,striking,incidental,wrong
levied,imposed,imposed,correct
deftly,skillfully,guess,guess
distribute,circulate,commercialize,wrong
discrepancies,differences,deposits,wrong
prolific,productive,promising,wrong
unmatched,unequaled,guess,guess
peculiarly,uniquely,guess,guess
hue,color,contrast,wrong
hind,rear,rear,correct
highlight,accentuate,alter,wrong
hastily,hurriedly,guess,guess
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,guess,guess
physician,doctor,nurse,wrong
essentially,basically,basically,correct
keen,sharp,useful,wrong
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,guess,guess
annals,chronicles,chronicles,correct
wildly,furiously,distinctively,wrong
hailed,acclaimed,addressed,wrong
command,mastery,mastery,correct
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,guess,guess
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,isolate,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,evident,wrong
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,profit,wrong
terminated,ended,evaluated,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,diluted,wrong
bigger,larger,guess,guess
roots,origins,origins,correct
normally,ordinarily,guess,guess
